edge_id,length_m,infra_type,current_comfort,upgrade_cost_est,priority_category,is_candidate,population_density,comfort_gap,bixi_station_count,bixi_trip_demand,combined_demand_score,distance_to_rev,is_rev_connector,connectivity_priority,priority_with_connectivity
fb0078a52fb168b7154d4ad8b95b82e6,63.0,piste cyclable en site propre,5,63000.0,lower_priority,True,2013.796680497925,0,0,0,0.16225234093972385,1922.0506518071925,False,0.07255729846387668,lower_priority
dc2b4ec01d405e1d76fb6b7e87d086f8,76.2,piste cyclable en site propre,5,76200.0,lower_priority,True,3233.333333333333,0,0,0,0.26051085864440837,4366.241934897377,False,0.11609281788699202,lower_priority
4ed272ac27b6eba3dd24a3b9415b4a40,115.5,sentier polyvalent,2,346500.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,2366.579656080437,False,0.17341298664105767,lower_priority
0c369bee2e9470f2c891cbe21d098a9b,8.200000000000001,piste cyclable au niveau du trottoir,5,24600.000000000004,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,5345.866090431462,False,0.1732558755218543,lower_priority
c34134e3f7c6c517011462fa9955e18c,238.9,sentier polyvalent,2,716700.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,6984.448998501671,False,0.17322658862503879,lower_priority
c7efb686812f93a2eac73fea829b7325,268.8,piste cyclable en site propre,5,268800.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,388.82087899636355,False,0.17484353385183624,lower_priority
5840a95d6d3d47fb0449b28092972939,34.3,piste cyclable sur rue,4,51449.99999999999,medium_priority,True,4828.27759975899,1,0,0,0.38901610617116833,0.0,True,0.8407037258384107,medium_priority_connector
a8d287b0d55bf4d2ca108fb8c89ef401,70.9,piste cyclable sur rue,4,106350.00000000001,medium_priority,True,4828.27759975899,1,0,0,0.38901610617116833,34.8125701003738,True,0.19177175952108905,medium_priority_connector
506eeef1bc0040fc447eb236ab403e1c,90.6,sentier polyvalent,2,271800.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,1391.9217056046211,False,0.1736102831926617,lower_priority
8ae5e10825c0fe150986af0f61e1b3e6,292.7,piste cyclable en site propre,5,292700.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,3764.076491137187,False,0.17330832898592902,lower_priority
7f8f96b835d1c5adb3b878d7f7622313,325.40000000000003,piste cyclable en site propre,5,325400.00000000006,lower_priority,True,2013.796680497925,0,0,0,0.16225234093972385,1823.568238211901,False,0.07257603573841796,lower_priority
b7bcb030243776185ebb5203db5be23f,86.7,piste cyclable sur rue,4,130050.0,medium_priority,True,4828.27759975899,1,0,0,0.38901610617116833,0.0,True,0.8407037258384107,medium_priority_connector
40c8ab624c5ec9f3c91f1435048ce05d,11.4,sentier polyvalent,2,34200.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,8186.772441934524,False,0.1732125553254961,lower_priority
18b2ced19f617f0e93480a6579cb2075,59.7,piste cyclable en site propre,5,59700.0,lower_priority,True,1773.7288135593221,0,0,0,0.1429099843987629,8030.130787969047,False,0.06368499287856302,lower_priority
ad9a62f55bb07f14c4dbd85f92174814,301.3,bande cyclable,3,602600.0,high_priority,True,4828.27759975899,2,0,0,0.38901610617116833,318.0326344658902,False,0.1752235127737494,high_priority
60dd0d12d96b35223096b5be243a1473,91.1,sentier polyvalent,2,273300.0,lower_priority,True,4828.27759975899,3,0,0,0.38901610617116833,323.36112429093777,False,0.17518913808266848,lower_priority
348da074083afd32f96292fd8d4b4226,168.4,piste cyclable en site propre,5,168400.0,lower_priority,True,4828.27759975899,0,2,270,0.39029319503921034,3293.0688976534325,False,0.17390204788496272,lower_priority
28d06b749b9ce3b6da3fe3bbe5c5eba4,109.10000000000001,piste cyclable sur rue,4,163650.0,medium_priority,True,4828.27759975899,1,0,0,0.38901610617116833,1223.7414849203874,False,0.17367609477816243,medium_priority
96d366c4ccfbbec691d78a2416097f41,141.6,piste cyclable en site propre,5,141600.0,lower_priority,True,4828.27759975899,0,0,0,0.38901610617116833,1977.4486326248837,False,0.17346844474892603,lower_priority
